x(dtmb),y(dtmb),z(dtmb),psi(dtmb),theta(dtmb),phi(dtmb)
5.830679e+02,3.795277e+01,-1.327999e+01,2.529037e-01,6.378491e-02,7.919195e-01
5.923564e+02,3.982905e+01,-1.313306e+01,2.608161e-01,5.920849e-02,8.136354e-01
6.016501e+02,4.177060e+01,-1.295660e+01,2.687817e-01,5.434781e-02,8.356587e-01
6.109478e+02,4.377826e+01,-1.274850e+01,2.767910e-01,4.919756e-02,8.579812e-01
6.202485e+02,4.585281e+01,-1.250662e+01,2.848342e-01,4.375286e-02,8.805938e-01
6.295514e+02,4.799494e+01,-1.222877e+01,2.929009e-01,3.800941e-02,9.034864e-01
6.388553e+02,5.020530e+01,-1.191267e+01,3.009804e-01,3.196343e-02,9.266483e-01
6.481592e+02,5.248444e+01,-1.155601e+01,3.090613e-01,2.561184e-02,9.500682e-01
6.574623e+02,5.483285e+01,-1.115642e+01,3.171321e-01,1.895222e-02,9.737335e-01
6.667635e+02,5.725091e+01,-1.071150e+01,3.251808e-01,1.198292e-02,9.976311e-01
6.760618e+02,5.973892e+01,-1.021880e+01,3.331951e-01,4.703140e-03,1.021747e+00
6.853563e+02,6.229711e+01,-9.675811e+00,3.411624e-01,-2.887078e-03,1.046066e+00
6.946461e+02,6.492558e+01,-9.080029e+00,3.490698e-01,-1.078674e-02,1.070573e+00
7.039301e+02,6.762437e+01,-8.428963e+00,3.569035e-01,-1.898698e-02,1.095274e+00
7.132079e+02,7.039184e+01,-7.730813e+00,3.646471e-01,-2.736195e-02,1.119771e+00
7.224795e+02,7.322373e+01,-7.017037e+00,3.722535e-01,-3.540080e-02,1.142476e+00
7.317439e+02,7.611921e+01,-6.298790e+00,3.796671e-01,-4.282094e-02,1.163130e+00
7.409994e+02,7.907962e+01,-5.570725e+00,3.868375e-01,-4.952641e-02,1.182141e+00
7.502451e+02,8.210605e+01,-4.825494e+00,3.937374e-01,-5.549383e-02,1.199798e+00
7.594804e+02,8.519772e+01,-4.069271e+00,4.003469e-01,-6.059739e-02,1.216129e+00
7.687052e+02,8.835265e+01,-3.317701e+00,4.066576e-01,-6.466850e-02,1.230992e+00
7.779192e+02,9.157061e+01,-2.571574e+00,4.126539e-01,-6.766367e-02,1.244387e+00
7.871221e+02,9.484998e+01,-1.842031e+00,4.183351e-01,-6.949401e-02,1.256227e+00
7.963137e+02,9.818962e+01,-1.136884e+00,4.236911e-01,-6.999553e-02,1.266441e+00
8.054933e+02,1.015888e+02,-4.582114e-01,4.287160e-01,-6.908913e-02,1.275038e+00
8.146606e+02,1.050463e+02,1.882705e-01,4.334102e-01,-6.675188e-02,1.281918e+00
8.238158e+02,1.085601e+02,7.915174e-01,4.377753e-01,-6.299726e-02,1.286962e+00
8.329593e+02,1.121278e+02,1.340162e+00,4.418101e-01,-5.788206e-02,1.290393e+00
8.420918e+02,1.157474e+02,1.824402e+00,4.455105e-01,-5.147787e-02,1.292515e+00
8.512140e+02,1.194168e+02,2.236794e+00,4.488704e-01,-4.384832e-02,1.293631e+00
8.603262e+02,1.231340e+02,2.571964e+00,4.518839e-01,-3.505397e-02,1.294031e+00
8.694289e+02,1.268972e+02,2.825827e+00,4.545509e-01,-2.518277e-02,1.294042e+00
8.785227e+02,1.307043e+02,2.995247e+00,4.568825e-01,-1.438123e-02,1.294095e+00
8.876077e+02,1.345542e+02,3.084883e+00,4.588956e-01,-2.834426e-03,1.294347e+00
8.966839e+02,1.384455e+02,3.101531e+00,4.606223e-01,9.219515e-03,1.294939e+00
9.057520e+02,1.423747e+02,3.028196e+00,4.621250e-01,2.154956e-02,1.296575e+00
9.148121e+02,1.463397e+02,2.862077e+00,4.634516e-01,3.399092e-02,1.299364e+00
9.238641e+02,1.503389e+02,2.604904e+00,4.646496e-01,4.635936e-02,1.303398e+00
9.329083e+02,1.543705e+02,2.257558e+00,4.657736e-01,5.840779e-02,1.308998e+00
9.419446e+02,1.584334e+02,1.830440e+00,4.668783e-01,6.975653e-02,1.316342e+00
9.509727e+02,1.625267e+02,1.336431e+00,4.680176e-01,8.002827e-02,1.325556e+00
9.599935e+02,1.666481e+02,7.706307e-01,4.692359e-01,8.908008e-02,1.336912e+00
9.690066e+02,1.707966e+02,1.453382e-01,4.705538e-01,9.673266e-02,1.350473e+00
9.780120e+02,1.749713e+02,-5.286035e-01,4.719840e-01,1.028456e-01,1.366298e+00
9.870097e+02,1.791709e+02,-1.242058e+00,4.735297e-01,1.073178e-01,1.384420e+00
9.959999e+02,1.833948e+02,-1.983675e+00,4.751815e-01,1.100957e-01,1.404820e+00
1.004983e+03,1.876420e+02,-2.741227e+00,4.769193e-01,1.111724e-01,1.427452e+00
1.013958e+03,1.919119e+02,-3.501256e+00,4.787127e-01,1.105950e-01,1.452229e+00
1.022926e+03,1.962039e+02,-4.249634e+00,4.805251e-01,1.084565e-01,1.479033e+00
1.031888e+03,2.005173e+02,-4.972790e+00,4.823181e-01,1.048718e-01,1.507707e+00
1.040843e+03,2.048515e+02,-5.658791e+00,4.840536e-01,9.995540e-02,1.538064e+00
1.049794e+03,2.092057e+02,-6.297806e+00,4.856937e-01,9.381259e-02,1.569893e+00
1.058740e+03,2.135791e+02,-6.882294e+00,4.871993e-01,8.655183e-02,1.602945e+00
1.067682e+03,2.179715e+02,-7.427701e+00,4.885240e-01,7.803360e-02,1.637490e+00
1.076621e+03,2.223829e+02,-7.937358e+00,4.896119e-01,6.833095e-02,1.673461e+00
1.085557e+03,2.268134e+02,-8.402516e+00,4.904145e-01,5.770186e-02,1.710491e+00
1.094490e+03,2.312625e+02,-8.814842e+00,4.908956e-01,4.638334e-02,1.748296e+00
1.103420e+03,2.357295e+02,-9.166105e+00,4.910337e-01,3.460726e-02,1.786611e+00
1.112347e+03,2.402135e+02,-9.447897e+00,4.908252e-01,2.261352e-02,1.825199e+00
1.121272e+03,2.447131e+02,-9.654119e+00,4.902749e-01,1.055365e-02,1.863949e+00
1.130196e+03,2.492263e+02,-9.774131e+00,4.893965e-01,-1.501175e-03,1.902590e+00
1.139120e+03,2.537500e+02,-9.792400e+00,4.882137e-01,-1.349005e-02,1.940707e+00
1.148045e+03,2.582822e+02,-9.707350e+00,4.867366e-01,-2.538289e-02,1.978229e+00
1.156971e+03,2.628211e+02,-9.517885e+00,4.849789e-01,-3.714337e-02,2.015081e+00
1.165898e+03,2.673651e+02,-9.229447e+00,4.829654e-01,-4.861816e-02,2.051116e+00
1.174827e+03,2.719132e+02,-8.849191e+00,4.807469e-01,-5.958836e-02,2.086100e+00
1.183759e+03,2.764620e+02,-8.368526e+00,4.783636e-01,-7.012313e-02,2.119922e+00
1.192693e+03,2.810109e+02,-7.801412e+00,4.758800e-01,-7.985817e-02,2.152414e+00
1.201629e+03,2.855594e+02,-7.163965e+00,4.733977e-01,-8.840722e-02,2.183449e+00
1.210568e+03,2.901040e+02,-6.446846e+00,4.709720e-01,-9.598461e-02,2.213059e+00
1.219511e+03,2.946437e+02,-5.658913e+00,4.686657e-01,-1.024592e-01,2.241388e+00
1.228457e+03,2.991788e+02,-4.817582e+00,4.665459e-01,-1.076052e-01,2.268801e+00
1.237407e+03,3.037084e+02,-3.929731e+00,4.646965e-01,-1.113843e-01,2.295434e+00
1.246362e+03,3.082309e+02,-2.998399e+00,4.631818e-01,-1.138384e-01,2.321447e+00
1.255319e+03,3.127481e+02,-2.045217e+00,4.620568e-01,-1.147837e-01,2.347567e+00
1.264279e+03,3.172606e+02,-1.084405e+00,4.613915e-01,-1.141438e-01,2.374193e+00
1.273240e+03,3.217679e+02,-1.220782e-01,4.612463e-01,-1.119626e-01,2.401368e+00
1.282203e+03,3.262712e+02,8.273656e-01,4.616501e-01,-1.082600e-01,2.429443e+00
1.291168e+03,3.307713e+02,1.753340e+00,4.626232e-01,-1.031080e-01,2.458763e+00
1.300132e+03,3.352699e+02,2.641623e+00,4.641530e-01,-9.662607e-02,2.489610e+00
1.309096e+03,3.397698e+02,3.475240e+00,4.662094e-01,-8.895721e-02,2.522146e+00
1.318059e+03,3.442707e+02,4.251441e+00,4.687881e-01,-8.021306e-02,2.556763e+00
1.327022e+03,3.487740e+02,4.959627e+00,4.718475e-01,-7.054085e-02,2.593688e+00
1.335983e+03,3.532820e+02,5.586519e+00,4.753265e-01,-6.013384e-02,2.632819e+00
1.344942e+03,3.577963e+02,6.123515e+00,4.791752e-01,-4.913055e-02,2.674292e+00
1.353899e+03,3.623170e+02,6.567412e+00,4.833592e-01,-3.761851e-02,2.718141e+00
1.362854e+03,3.668444e+02,6.914585e+00,4.878373e-01,-2.569926e-02,2.764333e+00
1.371804e+03,3.713840e+02,7.145292e+00,4.924855e-01,-1.382947e-02,2.812007e+00
1.380747e+03,3.759389e+02,7.251689e+00,4.972259e-01,-2.272044e-03,2.860629e+00
1.389684e+03,3.805112e+02,7.233169e+00,5.020045e-01,8.846244e-03,2.910038e+00
1.398614e+03,3.851022e+02,7.093837e+00,5.067692e-01,1.946777e-02,2.960353e+00
1.407536e+03,3.897135e+02,6.832912e+00,5.114683e-01,2.965949e-02,3.011535e+00
1.416451e+03,3.943470e+02,6.450690e+00,5.160415e-01,3.944617e-02,3.063490e+00
1.425357e+03,3.990036e+02,5.954746e+00,5.204143e-01,4.875418e-02,3.116270e+00
1.434254e+03,4.036841e+02,5.356579e+00,5.244917e-01,5.746183e-02,-3.113187e+00
1.443143e+03,4.083894e+02,4.649459e+00,5.281745e-01,6.567223e-02,-3.058655e+00
1.452023e+03,4.131198e+02,3.850187e+00,5.313645e-01,7.317491e-02,-3.003394e+00
1.460893e+03,4.178749e+02,2.984808e+00,5.339868e-01,7.965900e-02,-2.947911e+00
1.469752e+03,4.226538e+02,2.065783e+00,5.360005e-01,8.503956e-02,-2.892726e+00
1.478600e+03,4.274551e+02,1.106316e+00,5.374009e-01,8.927102e-02,-2.838517e+00
1.487439e+03,4.322771e+02,1.179065e-01,5.382108e-01,9.239322e-02,-2.785710e+00
1.496269e+03,4.371177e+02,-8.880765e-01,5.384732e-01,9.448823e-02,-2.734506e+00
1.505091e+03,4.419756e+02,-1.897452e+00,5.382411e-01,9.565644e-02,-2.685032e+00
